state,x,y
Andhra Pradesh,-30.0,-48.0
Arunachal Pradesh,254.0,166.0
Assam,207.0,109.0
Bihar,58.0,70.0
Goa,-195.0,-156.0
Gujarat,-247.0,23.0
Himachal Pradesh,-114,216.0
Jammu and Kashmir,-128,284.0
Karnataka,-153,-185.0
Kerala,-135,-283
Madhya Pradesh,-70.0,14.0
Maharashtra,-153.0,-54.0
odisha,42,-34.0
Punjab,-162,193.0
Rajasthan,-200.0,101.0
Sikkim,121.0,109.0
Tamil Nadu,-89.0,-263.0
Uttar Pradesh,-57.0,120.0
Uttarakhand,-83.0,176.0
West Bengal,109.0,21.0
chhattisgarh,49.0,35.0
Mizoram,215.0,35.0
